客路青山外，行舟绿水前			王湾《次北固山下》<br>
江流天地外，山色有无中			王维《汉江临眺》<br>
日日思君不见君，共饮长江水		李之仪《卜算子 我住长江头》<br>
十年生死两茫茫，不思量，自难忘	苏轼《江城子 乙卯正月二十日夜记梦》<br>
落霞与孤鹜齐飞，秋水共长天一色	王勃《滕王阁序》<br>
关山难越，谁悲失路之人；萍水相逢，尽是他乡之客	王勃《滕王阁序》<br>
秦人不暇自哀，而后人哀之，后人哀之而不鉴之	杜牧《阿房宫赋》<br>
始皇缴尽天下器，不见今日坐咸阳	佚名<br>
居庙堂之高则忧其民，处江湖之远则忧其君		范仲淹《岳阳楼记》<br>
先天下之忧而忧，后天下之乐而乐	范仲淹《岳阳楼记》<br>
十月吴山晓，梅花落敬亭。			李白《观胡人吹笛》<br>
樱花落尽阶前月，象床愁倚薰笼。	李煜《谢新恩》<br>
罪重樱花落黄泉，生死茫茫皆不见。	太田顺业(作)	十月叶(译)<br>
愿于春日樱下死，阴历二月满月时	佐藤义清<br>
樱花褪了残红，人生恍然如梦。		小野小町<br>
山樱幽处见，彼此倍相亲。			前大僧正行尊<br>
欲寄彩笺兼尺素，山长水阔知何处? 	晏殊《蝶恋花》<br>
从此无心爱良夜，任他明月下西楼。	李益《写情》<br>
若教眼底无离恨，不信人间有白头。	辛弃疾《鹧鸪天·代人赋》<br>
愿我如星君如月，夜夜流光相皎洁。	范成大《车遥遥篇》<br>
今人不见古时月，今月曾经照古人。	李白《把酒问月》<br>
十年磨一剑，霜刃未曾试。今日把示君，谁有不平事？	贾岛《剑客》<br>
我本将心向明月，奈何明月照沟渠	高明《琵琶记》<br>
文章写尽太平事 不肯俯首见苍生		《古风(其一十九)》<br>
